TimeWindow  Iteration  ResRel(Pressure)  ResRel(CrossSectionLength)  
1  1  1.0000000000000000  0.0000001507649162  
1  2  0.0092426096455489  0.0000001478801265  
1  3  0.8894971516173056  0.0000000003583443  
1  4  0.0013653976869551  0.0000000000014635  
1  5  0.0000009277957415  0.0000000000000049  
2  1  0.8560978648298316  0.0000003901209882  
2  2  0.5169263339966983  0.0000000000177841  
2  3  0.0000204553650549  0.0000000000000299  
2  4  0.0000000373427450  0.0000000000000002  
3  1  0.6822468234742345  0.0000003911612343  
3  2  0.1974183820192714  0.0000000000022938  
3  3  0.0000003477207011  0.0000000000000512  
4  1  0.5056732958013619  0.0000002295892076  
4  2  0.0604916065255942  0.0000000000070849  
4  3  0.0000003455105448  0.0000000000000012  
5  1  0.3759348911929623  0.0000000922935280  
5  2  0.0152522372996704  0.0000000000000346  
5  3  0.0000000055292936  0.0000000000000002  
6  1  0.2982183130438962  0.0000000738137215  
6  2  0.0087309333528326  0.0000000000002511  
6  3  0.0000000279607947  0.0000000000000022  
7  1  0.2555181982508746  0.0000001397446450  
7  2  0.0125334597140679  0.0000000000003324  
7  3  0.0000000210827709  0.0000000000000003  
8  1  0.2289631158986054  0.0000002013137634  
8  2  0.0141192200974095  0.0000000000002783  
8  3  0.0000000128039832  0.0000000000000015  
9  1  0.2071061948365994  0.0000002066253694  
9  2  0.0116144145187358  0.0000000000012091  
9  3  0.0000000221047536  0.0000000000000007  
10  1  0.1864140055589849  0.0000001675032716  
10  2  0.0077079279794481  0.0000000000003539  
10  3  0.0000000036039174  0.0000000000000013  
11  1  0.1675414591421686  0.0000001259229726  
11  2  0.0048413188037460  0.0000000000004156  
11  3  0.0000000083791651  0.0000000000000002  
12  1  0.1516585687278090  0.0000001094591960  
12  2  0.0035857324182531  0.0000000000013335  
12  3  0.0000000278021556  0.0000000000000039  
13  1  0.1388443779296490  0.0000001150122117  
13  2  0.0032593029336146  0.0000000000006103  
13  3  0.0000000095015730  0.0000000000000002  
14  1  0.1282772080858792  0.0000001227963473  
14  2  0.0030437479995077  0.0000000000001225  
14  3  0.0000000026643025  0.0000000000000005  
15  1  0.1190316545878046  0.0000001183631741  
15  2  0.0025902623476659  0.0000000000013965  
15  3  0.0000000261294392  0.0000000000000308  
16  1  0.1105851075147016  0.0000001020771248  
16  2  0.0019891946668337  0.0000000000004696  
16  3  0.0000000062815158  0.0000000000000043  
17  1  0.1028241869741552  0.0000000832241557  
17  2  0.0014560407419635  0.0000000000007173  
