TimeWindow  TotalIterations  Iterations  Convergence
1  5  5  1  
2  10  5  1
3  14  4  1
4  18  4  1
5  22  4  1
6  26  4  1
7  30  4  1
8  34  4  1
9  38  4  1
10  42  4  1
11  46  4  1
12  49  3  1
13  53  4  1
14  57  4  1
15  60  3  1
16  63  3  1
17  66  3  1
18  69  3  1
19  72  3  1
20  75  3  1
21  78  3  1
22  81  3  1
23  84  3  1
24  87  3  1
25  90  3  1
26  93  3  1
27  96  3  1
28  99  3  1
29  102  3  1
30  105  3  1
31  108  3  1
32  111  3  1
33  114  3  1
34  117  3  1
35  120  3  1
36  123  3  1
37  126  3  1
38  129  3  1
39  132  3  1
40  135  3  1
41  138  3  1
42  141  3  1
43  144  3  1
44  147  3  1
45  150  3  1
46  153  3  1
47  156  3  1
48  159  3  1
49  162  3  1
50  165  3  1
51  168  3  1
52  171  3  1
53  174  3  1
54  177  3  1
55  180  3  1
56  183  3  1
57  186  3  1
58  189  3  1
59  191  2  1
60  193  2  1
61  196  3  1
62  198  2  1
63  201  3  1
64  203  2  1
65  206  3  1
66  209  3  1
67  212  3  1
68  215  3  1
69  218  3  1
70  220  2  1
71  223  3  1
72  225  2  1
73  228  3  1
74  230  2  1
75  232  2  1
76  235  3  1
77  238  3  1
78  240  2  1
79  243  3  1
80  245  2  1
81  247  2  1
82  249  2  1
83  252  3  1
84  255  3  1
85  257  2  1
86  259  2  1
87  261  2  1
88  264  3  1
89  267  3  1
90  270  3  1
91  273  3  1
92  276  3  1
93  279  3  1
94  281  2  1
95  283  2  1
96  286  3  1
97  288  2  1
98  291  3  1
99  294  3  1
100  297  3  1
101  299  2  1
102  301  2  1
103  303  2  1
104  306  3  1
105  308  2  1
106  310  2  1
107  312  2  1
108  314  2  1
109  316  2  1
110  318  2  1
111  320  2  1
112  322  2  1
113  324  2  1
114  326  2  1
115  328  2  1
116  330  2  1
117  333  3  1
118  336  3  1
119  338  2  1
120  341  3  1
121  344  3  1
122  346  2  1
123  348  2  1
124  350  2  1
125  352  2  1
126  355  3  1
127  358  3  1
128  360  2  1
129  362  2  1
130  364  2  1
131  367  3  1
132  369  2  1
133  372  3  1
134  374  2  1
135  377  3  1
136  379  2  1
137  381  2  1
138  383  2  1
139  385  2  1
140  387  2  1
141  389  2  1
142  391  2  1
143  393  2  1
144  395  2  1
145  398  3  1
146  400  2  1
147  402  2  1
148  404  2  1
149  406  2  1
150  408  2  1
151  410  2  1
152  412  2  1
153  415  3  1
154  418  3  1
155  420  2  1
156  422  2  1
157  425  3  1
158  428  3  1
159  430  2  1
160  432  2  1
161  434  2  1
162  437  3  1
163  439  2  1
164  441  2  1
165  444  3  1
166  446  2  1
167  448  2  1
168  450  2  1
169  452  2  1
170  454  2  1
171  457  3  1
172  459  2  1
173  461  2  1
174  463  2  1
175  465  2  1
176  467  2  1
177  469  2  1
178  471  2  1
179  473  2  1
180  476  3  1
181  478  2  1
182  480  2  1
183  482  2  1
184  485  3  1
185  488  3  1
186  490  2  1
187  492  2  1
188  494  2  1
189  496  2  1
190  499  3  1
191  502  3  1
192  504  2  1
193  506  2  1
194  508  2  1
195  510  2  1
196  512  2  1
197  514  2  1
198  516  2  1
199  518  2  1
200  520  2  1
201  522  2  1
202  524  2  1
203  526  2  1
204  529  3  1
205  531  2  1
206  533  2  1
207  535  2  1
208  537  2  1
209  539  2  1
210  541  2  1
211  543  2  1
212  545  2  1
213  548  3  1
214  550  2  1
215  552  2  1
216  554  2  1
217  556  2  1
218  558  2  1
219  560  2  1
220  562  2  1
221  564  2  1
222  566  2  1
223  568  2  1
224  571  3  1
225  573  2  1
226  575  2  1
227  577  2  1
228  579  2  1
229  581  2  1
230  583  2  1
231  585  2  1
232  587  2  1
233  590  3  1
234  592  2  1
235  594  2  1
236  596  2  1
237  598  2  1
238  600  2  1
239  602  2  1
240  604  2  1
241  606  2  1
242  608  2  1
243  610  2  1
244  612  2  1
245  614  2  1
246  616  2  1
247  618  2  1
248  621  3  1
249  623  2  1
250  625  2  1
251  627  2  1
252  629  2  1
253  631  2  1
254  633  2  1
255  635  2  1
256  637  2  1
257  639  2  1
258  641  2  1
259  643  2  1
260  645  2  1
261  647  2  1
262  649  2  1
263  651  2  1
264  654  3  1
265  656  2  1
266  658  2  1
267  660  2  1
268  662  2  1
269  664  2  1
270  666  2  1
271  668  2  1
272  671  3  1
273  675  4  1
274  677  2  1
275  679  2  1
276  681  2  1
277  683  2  1
278  685  2  1
279  687  2  1
280  689  2  1
281  691  2  1
282  693  2  1
283  695  2  1
284  697  2  1
285  699  2  1
286  701  2  1
287  703  2  1
288  705  2  1
289  707  2  1
290  709  2  1
291  711  2  1
292  713  2  1
293  715  2  1
294  717  2  1
295  719  2  1
296  721  2  1
297  723  2  1
298  725  2  1
299  727  2  1
300  729  2  1
301  731  2  1
302  733  2  1
303  735  2  1
304  737  2  1
305  739  2  1
306  741  2  1
307  743  2  1
308  745  2  1
309  747  2  1
310  749  2  1
311  751  2  1
312  753  2  1
313  755  2  1
314  757  2  1
315  759  2  1
316  761  2  1
317  763  2  1
318  765  2  1
319  767  2  1
320  769  2  1
321  771  2  1
322  773  2  1
323  775  2  1
324  778  3  1
325  780  2  1
326  782  2  1
327  784  2  1
328  786  2  1
329  788  2  1
330  790  2  1
331  792  2  1
332  794  2  1
333  796  2  1
334  798  2  1
335  800  2  1
336  802  2  1
337  804  2  1
338  806  2  1
339  808  2  1
340  810  2  1
341  812  2  1
342  814  2  1
343  816  2  1
344  818  2  1
345  820  2  1
346  822  2  1
347  824  2  1
348  826  2  1
349  828  2  1
350  830  2  1
351  832  2  1
352  836  4  1
353  838  2  1
354  840  2  1
355  842  2  1
356  844  2  1
357  846  2  1
358  848  2  1
359  850  2  1
360  852  2  1
361  854  2  1
362  856  2  1
363  858  2  1
364  860  2  1
365  862  2  1
366  864  2  1
367  866  2  1
368  868  2  1
369  870  2  1
370  872  2  1
371  874  2  1
372  876  2  1
373  878  2  1
374  880  2  1
375  882  2  1
376  884  2  1
377  886  2  1
378  888  2  1
379  890  2  1
380  892  2  1
381  894  2  1
382  896  2  1
383  898  2  1
384  900  2  1
385  902  2  1
386  904  2  1
387  906  2  1
388  908  2  1
389  910  2  1
390  912  2  1
391  914  2  1
392  916  2  1
393  918  2  1
394  920  2  1
395  922  2  1
396  924  2  1
397  926  2  1
398  928  2  1
399  930  2  1
400  932  2  1
